Statistical profiling result from isolate-0x4ea6bf0-409463-v8-409463.log, (26432 ticks, 89 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  std::__use_cache<std::__numpunct_cache<char> >::operator()(std::locale const&) const
      1    0.0%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      1    0.0%    0.0%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)
      1    0.0%    0.0%  new_do_write
      1    0.0%    0.0%  _mid_memalign
      1    0.0%    0.0%  _itoa_word
      1    0.0%    0.0%  __strcmp_avx2
      1    0.0%    0.0%  __pthread_disable_asynccancel
      1    0.0%    0.0%  __mpn_mul_1
      1    0.0%    0.0%  __libc_write
      1    0.0%    0.0%  __libc_recvmsg
      1    0.0%    0.0%  __getsockname
      1    0.0%    0.0%  __getpid
      1    0.0%    0.0%  __errno_location
      1    0.0%    0.0%  __GI___printf_fp_l
      1    0.0%    0.0%  __GI___mmap
      1    0.0%    0.0%  __GI___madvise
      1    0.0%    0.0%  __GI___libc_alloca_cutoff
      1    0.0%    0.0%  __GI__IO_file_sync

 [Summary]:
   ticks  total  nonlib   name
   5316   20.1%   48.6%  JavaScript
   5533   20.9%   50.6%  C++
    447    1.7%    4.1%  GC
  15494   58.6%          Shared libraries
     89    0.3%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
   3346   84.9%   12.7%  __GI___writev
    115    2.9%    0.4%  __memcpy_avx_unaligned_erms
     79    2.0%    0.3%  __GI___libc_malloc
     75    1.9%    0.3%  __pthread_mutex_unlock_usercnt
     56    1.4%    0.2%  __memchr_avx2
     41    1.0%    0.2%  cfree@GLIBC_2.2.5
     34    0.9%    0.1%  __clock_gettime
     25    0.6%    0.1%  operator delete(void*)
     24    0.6%    0.1%  __GI___pthread_getspecific
     20    0.5%    0.1%  operator new(unsigned long)
     19    0.5%    0.1%  _int_malloc
     19    0.5%    0.1%  _int_free
     15    0.4%    0.1%  __GI___libc_write
     11    0.3%    0.0%  __pthread_cond_signal
     11    0.3%    0.0%  __libc_enable_asynccancel
      8    0.2%    0.0%  __memcmp_avx2_movbe
      7    0.2%    0.0%  fwrite
      3    0.1%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      3    0.1%    0.0%  __memset_avx2_unaligned_erms
      3    0.1%    0.0%  __mempcpy_avx_unaligned_erms
      3    0.1%    0.0%  __lll_lock_wait
      2    0.1%    0.0%  unlink_chunk.constprop.0
      2    0.1%    0.0%  syscall
      2    0.1%    0.0%  std::ostream::sentry::~sentry()
      2    0.1%    0.0%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
      2    0.1%    0.0%  __GI___pthread_mutex_lock
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.0%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      1    0.0%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.0%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      1    0.0%    0.0%  std::__use_cache<std::__numpunct_cache<char> >::operator()(std::locale const&) const
      1    0.0%    0.0%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)
      1    0.0%    0.0%  operator new[](unsigned long)
      1    0.0%    0.0%  operator delete[](void*)
      1    0.0%    0.0%  new_do_write
      1    0.0%    0.0%  _mid_memalign
      1    0.0%    0.0%  __strlen_avx2
      1    0.0%    0.0%  __strcmp_avx2
      1    0.0%    0.0%  __memset_avx2_erms
      1    0.0%    0.0%  __libc_write
      1    0.0%    0.0%  __GI___madvise
      1    0.0%    0.0%  __GI__IO_file_xsputn

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  15459   58.5%  /home/knrd/.nvm/versions/node/v15.14.0/bin/node
   3718   24.1%    /home/knrd/.nvm/versions/node/v15.14.0/bin/node
    725   19.5%      LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/router/http.router.resolver.v2.js:32:60
    725  100.0%        LazyCompile: *Subscriber._next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subscriber.js:88:43
    725  100.0%          LazyCompile: *Subscriber._next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subscriber.js:88:43
    723   99.7%            LazyCompile: *MapSubscriber._next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/operators/map.js:46:46
    375   10.1%      LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/response/http.responseBody.factory.js:8:34
    375  100.0%        LazyCompile: *<anonymous> /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/router/http.router.resolver.v2.js:32:60
    375  100.0%          LazyCompile: *Subscriber._next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subscriber.js:88:43
    375  100.0%            LazyCompile: *Subscriber._next /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subscriber.js:88:43
    363    9.8%      /home/knrd/.nvm/versions/node/v15.14.0/bin/node
    312   86.0%        LazyCompile: *resolve /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/router/http.router.resolver.v2.js:72:21
    311   99.7%          LazyCompile: *handle /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/@marblejs+core@3.4.9_fp-ts@2.10.2+rxjs@6.6.7/node_modules/@marblejs/core/dist/http/server/http.server.listener.js:17:20
    311  100.0%            LazyCompile: *parserOnIncoming node:_http_server:860:26
      8    2.2%        LazyCompile: ~readPackage node:internal/modules/cjs/loader:281:21
      8  100.0%          LazyCompile: ~readPackageScope node:internal/modules/cjs/loader:312:26
      6   75.0%            LazyCompile: ~trySelf node:internal/modules/cjs/loader:432:17
      2   25.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1101:37
      7    1.9%        LazyCompile: *Subscription.unsubscribe /home/knrd/projects/tfb/frameworks/TypeScript/marble/node_modules/.pnpm/rxjs@6.6.7/node_modules/rxjs/internal/Subscription.js:17:51
